timestamp,steps
2024-04-19T13:10:00Z,115
2024-04-19T13:11:00Z,120
2024-04-19T13:12:00Z,131
2024-04-19T13:13:00Z,141
2024-04-19T13:14:00Z,131
2024-04-19T13:15:00Z,134
2024-04-19T13:16:00Z,135
2024-04-19T13:17:00Z,136
2024-04-19T13:18:00Z,132
2024-04-19T13:19:00Z,137
2024-04-19T13:20:00Z,127
2024-04-19T13:21:00Z,127
2024-04-19T13:22:00Z,126
2024-04-19T13:23:00Z,108
2024-04-19T13:24:00Z,89
2024-04-19T13:25:00Z,93
2024-04-19T13:26:00Z,61
2024-04-19T13:27:00Z,65
2024-04-19T13:28:00Z,47
2024-04-19T13:33:00Z,18
2024-04-19T13:35:00Z,14
2024-04-19T13:36:00Z,42
2024-04-19T13:37:00Z,38
2024-04-19T13:38:00Z,25
2024-04-19T13:39:00Z,54
2024-04-19T13:40:00Z,50
2024-04-19T13:41:00Z,44
2024-04-19T13:42:00Z,30
2024-04-19T13:43:00Z,35
2024-04-19T13:44:00Z,20
2024-04-19T13:45:00Z,10
2024-04-19T13:46:00Z,51
2024-04-19T13:47:00Z,79
2024-04-19T13:48:00Z,60
2024-04-19T13:49:00Z,64
2024-04-19T13:50:00Z,36
2024-04-19T13:51:00Z,46
2024-04-19T13:52:00Z,21
2024-04-19T13:53:00Z,5
2024-04-19T13:54:00Z,10
2024-04-19T13:55:00Z,2
2024-04-19T14:00:00Z,18
2024-04-19T14:04:00Z,4
2024-04-19T14:05:00Z,22
2024-04-19T14:14:00Z,48
2024-04-19T14:15:00Z,118
2024-04-19T14:16:00Z,122
2024-04-19T14:17:00Z,124
2024-04-19T14:18:00Z,118
2024-04-19T14:19:00Z,116
2024-04-19T14:20:00Z,117
2024-04-19T14:21:00Z,43
2024-04-19T14:22:00Z,13
2024-04-19T14:23:00Z,10
2024-04-19T14:24:00Z,7
2024-04-19T14:28:00Z,21
2024-04-19T14:29:00Z,52
2024-04-19T14:30:00Z,27
2024-04-19T14:48:00Z,26
2024-04-19T15:15:00Z,8
2024-04-19T15:19:00Z,6
2024-04-19T15:47:00Z,4
2024-04-19T15:48:00Z,49
2024-04-19T15:49:00Z,58
2024-04-19T15:51:00Z,7
2024-04-19T15:55:00Z,27
2024-04-19T15:56:00Z,37
2024-04-19T16:04:00Z,11
2024-04-19T16:05:00Z,6
2024-04-19T16:39:00Z,6
2024-04-19T16:54:00Z,7
2024-04-19T17:03:00Z,4
2024-04-19T17:05:00Z,4
2024-04-19T17:21:00Z,9
2024-04-19T17:23:00Z,10
2024-04-19T17:24:00Z,56
2024-04-19T17:25:00Z,42
2024-04-19T17:26:00Z,78
2024-04-19T17:27:00Z,76
2024-04-19T17:28:00Z,102
2024-04-19T17:29:00Z,110
2024-04-19T17:30:00Z,108
2024-04-19T17:31:00Z,108
2024-04-19T17:32:00Z,108
2024-04-19T17:33:00Z,106
2024-04-19T17:34:00Z,107
2024-04-19T17:35:00Z,116
2024-04-19T17:36:00Z,112
2024-04-19T17:37:00Z,106
2024-04-19T17:38:00Z,113
2024-04-19T17:39:00Z,109
2024-04-19T17:40:00Z,88
2024-04-19T17:41:00Z,54
2024-04-19T17:42:00Z,4
2024-04-19T17:52:00Z,7
2024-04-19T18:10:00Z,8
2024-04-19T18:13:00Z,14
2024-04-19T18:14:00Z,30
2024-04-19T18:15:00Z,44
2024-04-19T18:16:00Z,16
2024-04-19T18:17:00Z,19
2024-04-19T18:18:00Z,33
2024-04-19T18:19:00Z,34
2024-04-19T18:20:00Z,10
2024-04-19T18:21:00Z,38
2024-04-19T18:22:00Z,19
2024-04-19T18:23:00Z,8
2024-04-19T18:24:00Z,8
2024-04-19T18:29:00Z,5
2024-04-19T18:30:00Z,4
2024-04-19T18:36:00Z,8
2024-04-19T18:37:00Z,19
2024-04-19T18:38:00Z,34
2024-04-19T18:39:00Z,36
2024-04-19T18:40:00Z,39
2024-04-19T18:41:00Z,83
2024-04-19T18:42:00Z,30
2024-04-19T18:43:00Z,25
2024-04-19T18:44:00Z,4
2024-04-19T18:45:00Z,12
2024-04-19T18:46:00Z,28
2024-04-19T18:47:00Z,7
2024-04-19T18:48:00Z,41
2024-04-19T18:49:00Z,52
2024-04-19T18:50:00Z,62
2024-04-19T18:51:00Z,64
2024-04-19T18:52:00Z,46
2024-04-19T18:53:00Z,40
2024-04-19T18:54:00Z,56
2024-04-19T18:55:00Z,39
2024-04-19T18:56:00Z,15
2024-04-19T18:57:00Z,21
2024-04-19T18:58:00Z,34
2024-04-19T18:59:00Z,22
2024-04-19T19:00:00Z,60
2024-04-19T19:01:00Z,55
2024-04-19T19:02:00Z,55
2024-04-19T19:03:00Z,62
2024-04-19T19:04:00Z,36
2024-04-19T19:05:00Z,24
2024-04-19T19:06:00Z,76
2024-04-19T19:07:00Z,70
2024-04-19T19:08:00Z,34
2024-04-19T19:09:00Z,29
2024-04-19T19:10:00Z,57
2024-04-19T19:11:00Z,61
2024-04-19T19:12:00Z,23
2024-04-19T19:13:00Z,45
2024-04-19T19:14:00Z,45
2024-04-19T19:20:00Z,10
2024-04-19T19:45:00Z,7
2024-04-19T20:00:00Z,43
2024-04-19T20:01:00Z,50
2024-04-19T20:02:00Z,21
2024-04-19T20:03:00Z,4
2024-04-19T20:04:00Z,27
2024-04-19T20:05:00Z,12
2024-04-19T20:08:00Z,57
2024-04-19T20:09:00Z,119
2024-04-19T20:10:00Z,120
2024-04-19T20:11:00Z,125
2024-04-19T20:12:00Z,83
2024-04-19T20:13:00Z,105
2024-04-19T20:14:00Z,66
2024-04-19T20:15:00Z,70
2024-04-19T20:51:00Z,10
2024-04-19T20:52:00Z,7
2024-04-19T20:53:00Z,33
2024-04-19T20:57:00Z,14
2024-04-19T21:04:00Z,25
2024-04-19T21:13:00Z,27
2024-04-19T21:14:00Z,106
2024-04-19T21:15:00Z,79
