timestamp,lap time,stroke count,stroke type
2020-06-07T17:55:52Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T18:48:07Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T18:51:20Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T18:57:07Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T18:59:17Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T19:04:28Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-07T23:40:59Z,00:00:12.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:15:16Z,00:00:30.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:22:05Z,00:00:18.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:22:59Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:23:31Z,00:00:29.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:24:24Z,00:00:28.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:25:57Z,00:00:25.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:27:48Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:31:19Z,00:00:22.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:31:54Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-08T11:32:36Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
